objective,seed,fit_seed,lambda_pi,lambda_diss,train_loss,constants,nmse_iso,nmse_chan,mean_r_iso,mean_r_chan,tau12_r_chan,pi_r_iso,pi_r_chan,pi_bias_iso,pi_bias_chan,pi_rmse_iso,pi_rmse_chan,neg_frac_iso,neg_frac_chan,wall_tau12_corr_chan
NMSE_only,10,30010,0.0,0.0,1.9736375345757329,"{'c1': 0.03962053573397036, 'c2': 0.43282933874580715, 'c3': 2.773370586047107e-06}",0.9749047337682514,1.0432458953621684,0.3004006401133426,0.29721287796990176,0.26513978180394443,0.9680259520788919,0.6067474236681797,-0.026090644114347823,0.0011986474821331472,2.3289869456383196,0.009073370795780432,0.3934288024902344,0.4797859191894531,-0.5868696648002343
NMSE_only,11,30011,0.0,0.0,2.026831660709389,"{'c1': 0.04196328756704795, 'c2': 0.4566950480337232, 'c3': 2.786571469093843e-06}",0.9721040102832783,1.046044374854028,0.30041218354254606,0.2971685491924027,0.26491505879869826,0.9679553765302116,0.6067660386338667,-0.02566081506503331,0.0012097672521368854,2.3078295903315746,0.009053997748610185,0.3934974670410156,0.4798240661621094,-0.5868327731379632
NMSE_plus_backscatter,0,30100,1.0,0.0,1.484259235890537,"{'c1': 0.03890602484155245, 'c2': 0.4573176343069694, 'c3': 2.781534639872899e-06}",0.9729628186371188,1.045147786543038,0.3000696239276091,0.29810952290774345,0.26926581838120905,0.9693048851154554,0.6063354925875297,-0.02573741973018171,0.0012152801709284576,2.309414608987068,0.009058498784447793,0.3913841247558594,0.4792442321777344,-0.58756528794943
NMSE_plus_backscatter,1,30101,1.0,0.0,1.5628480888950076,"{'c1': 0.039733250584915863, 'c2': 0.4773109627774113, 'c3': 2.757499814919518e-06}",0.9709976044379621,1.0472185079273084,0.29993401727001207,0.29835553756128513,0.27040667053940737,0.9696534630928392,0.6061968322572312,-0.02540930624209751,0.0012264973888596903,2.292475205980464,0.009053530331130714,0.39083099365234375,0.4791450500488281,-0.5877621181335595
NMSE_plus_backscatter,2,30102,1.0,0.0,1.4954928708577715,"{'c1': 0.03937691677693096, 'c2': 0.43515453198309845, 'c3': 2.747333067436163e-06}",0.9747708519526737,1.0433723862903272,0.3003619007504268,0.2973628679638503,0.26581851300113696,0.9682384788029005,0.6066887560153476,-0.026062053849558897,0.0012005212389985776,2.327248782992296,0.00907168737672012,0.39315032958984375,0.4796409606933594,-0.5869827669422545
NMSE_plus_backscatter,3,30103,1.0,0.0,1.5136970904771614,"{'c1': 0.03869298418301942, 'c2': 0.4414823108680062, 'c3': 2.823772639118235e-06}",0.9744169380619598,1.0437192667777948,0.3002280412654605,0.2977571691334673,0.2676429825704054,0.9688054680747761,0.606513678449666,-0.02598484518462856,0.0012056552056667477,2.322533566815382,0.009067768350689384,0.3922119140625,0.4795494079589844,-0.5872888745699169
NMSE_plus_backscatter,4,30104,1.0,0.0,1.5218042843398714,"{'c1': 0.04182847258324101, 'c2': 0.43770490815483143, 'c3': 2.8402662132355072e-06}",0.9738117061767017,1.0443627942825164,0.30049882601855366,0.29663035510527175,0.2625082128076378,0.9671930628008354,0.6069432444301199,-0.025954136167065975,0.0011980226282816777,2.3234781963579434,0.009065853763387113,0.3945579528808594,0.4801139831542969,-0.5864355045795088
NMSE_plus_backscatter,5,30105,1.0,0.0,1.546372803345969,"{'c1': 0.04118154786027499, 'c2': 0.4556184993036658, 'c3': 2.7639653619559103e-06}",0.9724272750174019,1.045674521000703,0.30035775949357274,0.29738146451599895,0.2658852846552793,0.9682593316396684,0.606682758026004,-0.025699241853206684,0.00121039801169175,2.3092461164153484,0.009055571509022026,0.3931427001953125,0.4796409606933594,-0.5869942396427187
NMSE_plus_backscatter,6,30106,1.0,0.0,1.489157362034319,"{'c1': 0.040631325673904053, 'c2': 0.44128066007294264, 'c3': 2.89437931054796e-06}",0.9738487193076981,1.0442696495565522,0.3004183434350788,0.29713384295394146,0.2647908052160759,0.9679163286826512,0.6067762767991614,-0.02593333644606249,0.0012022814886142783,2.3213683066322064,0.009064795117923264,0.3935089111328125,0.4798316955566406,-0.5868115516872537
NMSE_plus_backscatter,7,30107,1.0,0.0,1.5368920573984701,"{'c1': 0.03870842712981572, 'c2': 0.46244809753797766, 'c3': 2.784482137481744e-06}",0.972578940705425,1.0455590579068526,0.2999698774098549,0.2982915461734854,0.27012166611495314,0.9695665694287074,0.6062325721926417,-0.025664765906880643,0.0012188450587168032,2.30534835849225,0.009057109499692994,0.3909111022949219,0.4791221618652344,-0.5877125189088652
