regime,model,seed,fit_seed,train_loss,constants,nmse_iso,nmse_chan,mean_r_iso,mean_r_chan,r11_iso,r12_iso,r11_chan,r12_chan,pi_r_iso,pi_r_chan,wall_tau12_corr_chan
CHAN_only,Leonard,1,11001,0.9721680968728031,{'c1': 0.07342939992051548},1.0154090856426867,1.0762389876281468,0.18271484712796196,0.16050906685643132,0.24138367510248923,0.16633038646197837,0.16525612437523413,0.03912312123374778,0.4371065794267328,0.12871102070326967,0.15958553726020785
CHAN_only,Leonard,2,11002,0.9695995835177746,{'c1': 0.0663867995707708},1.0167539739931444,1.0671211609318068,0.18271484712796202,0.16050906685643132,0.2413836751024893,0.1663303864619784,0.16525612437523413,0.039123121233747775,0.43710657942672987,0.12871102070327023,0.15958553726020788
CHAN_only,Leonard,3,11003,0.9151205975346711,{'c1': 0.0731628734907422},1.015456205600052,1.0758620540245871,0.18271484712796202,0.16050906685643132,0.2413836751024892,0.1663303864619784,0.16525612437523413,0.039123121233747775,0.4371065794267329,0.12871102070327042,0.15958553726020783
CHAN_only,Leonard,4,11004,0.9740018940637901,{'c1': 0.06570766316090758},1.0168946329841735,1.0663344476619803,0.18271484712796202,0.16050906685643132,0.2413836751024893,0.1663303864619783,0.16525612437523413,0.039123121233747775,0.43710657942672965,0.1287110207032695,0.159585537260208
CHAN_only,Leonard,5,11005,0.9775955284194877,{'c1': 0.06535335206407154},1.0169687817613857,1.065930474470705,0.18271484712796202,0.16050906685643132,0.2413836751024893,0.1663303864619784,0.16525612437523415,0.039123121233747775,0.43710657942673076,0.12871102070327026,0.15958553726020744
CHAN_only,Leonard,6,11006,0.973303781623783,{'c1': 0.0607128562222516},1.0179884025441976,1.0610485704940005,0.18271484712796204,0.16050906685643132,0.2413836751024893,0.1663303864619784,0.16525612437523413,0.03912312123374777,0.43710657942673153,0.12871102070326954,0.15958553726020805
CHAN_only,Leonard,7,11007,0.9843871325019996,{'c1': 0.06784671885368444},1.0164581348871333,1.0688674437734096,0.18271484712796202,0.16050906685643132,0.2413836751024892,0.1663303864619784,0.16525612437523415,0.039123121233747775,0.437106579426732,0.12871102070326998,0.15958553726020772
CHAN_only,Leonard,8,11008,0.9573604691237114,{'c1': 0.06770881427730466},1.0164856986717856,1.0686992719266142,0.18271484712796202,0.16050906685643132,0.24138367510248923,0.1663303864619784,0.16525612437523413,0.03912312123374777,0.4371065794267313,0.12871102070326984,0.15958553726020772
CHAN_only,Leonard,9,11009,0.9648291366381706,{'c1': 0.06665985409015272},1.0166979642268819,1.0674420561622981,0.18271484712796196,0.16050906685643132,0.24138367510248923,0.16633038646197829,0.16525612437523413,0.039123121233747775,0.4371065794267324,0.12871102070326984,0.15958553726020772
CHAN_only,Leonard,10,11010,0.9585328985940493,{'c1': 0.06880176107599621},1.0162694281725502,1.0700505185639957,0.18271484712796196,0.16050906685643132,0.24138367510248923,0.16633038646197834,0.16525612437523415,0.03912312123374777,0.43710657942673126,0.12871102070326992,0.15958553726020772
CHAN_only,Leonard,11,11011,0.9686710964400976,{'c1': 0.06581021737219701},1.0168732688506987,1.0664522032285746,0.18271484712796202,0.16050906685643132,0.2413836751024893,0.16633038646197834,0.16525612437523413,0.03912312123374777,0.43710657942673187,0.12871102070326967,0.15958553726020788
CHAN_only,WALE_like,0,11100,0.8624455588810681,{'c1': -0.9081110365778831},1.2091670572133966,1.234818602525378,-0.26294294117335965,-0.2651153342047154,0.06680065359843824,-0.3887472762375703,0.057784301562029544,-0.28899959691649624,-0.9776183897992918,-0.589374297485111,0.5964905931912008
CHAN_only,WALE_like,1,11101,0.8892714185301189,{'c1': -0.8784896059215139},1.2022305577363885,1.2254565225691503,-0.26294294117335965,-0.2651153342047154,0.06680065359843822,-0.38874727623757027,0.05778430156202956,-0.28899959691649624,-0.9776183897992897,-0.5893742974851102,0.5964905931912007
CHAN_only,WALE_like,2,11102,0.8627339440457968,{'c1': -0.8894942785308017},1.2047964682852867,1.2289039725901034,-0.26294294117335965,-0.26511533420471545,0.06680065359843823,-0.3887472762375704,0.05778430156202956,-0.28899959691649624,-0.9776183897992947,-0.58937429748511,0.5964905931912007
CHAN_only,WALE_like,3,11103,0.8091659152764519,{'c1': -0.9107583816030813},1.2097916070919246,1.2356681011207333,-0.26294294117335965,-0.2651153342047154,0.06680065359843823,-0.38874727623757027,0.05778430156202956,-0.28899959691649624,-0.9776183897992935,-0.5893742974851099,0.5964905931912006
CHAN_only,WALE_like,4,11104,0.8074749702107117,{'c1': -0.9295902594834897},1.2142562001453332,1.2417715423950475,-0.26294294117335965,-0.26511533420471545,0.06680065359843823,-0.3887472762375703,0.05778430156202953,-0.28899959691649624,-0.9776183897992912,-0.589374297485108,0.5964905931912008
CHAN_only,WALE_like,5,11105,0.8961517519326224,{'c1': -0.8740150883980288},1.2011909975157333,1.2240651495919392,-0.26294294117335965,-0.2651153342047154,0.06680065359843822,-0.38874727623757027,0.057784301562029544,-0.28899959691649624,-0.9776183897992914,-0.5893742974851083,0.5964905931912007
CHAN_only,WALE_like,6,11106,0.8670047289931802,{'c1': -0.8839552784585926},1.2035033281658278,1.2271642310104254,-0.26294294117335965,-0.2651153342047154,0.06680065359843823,-0.3887472762375703,0.05778430156202957,-0.2889995969164963,-0.9776183897992874,-0.5893742974851097,0.5964905931912006
CHAN_only,WALE_like,7,11107,0.8142588707545052,{'c1': -0.9048131996412392},1.2083901057528668,1.233763303801228,-0.26294294117335965,-0.26511533420471545,0.06680065359843823,-0.3887472762375703,0.05778430156202956,-0.28899959691649624,-0.977618389799291,-0.589374297485109,0.5964905931912007
CHAN_only,WALE_like,8,11108,0.8262828578500997,{'c1': -0.9099313979720276},1.2095964274304112,1.235402507527418,-0.26294294117335965,-0.2651153342047154,0.06680065359843823,-0.3887472762375703,0.05778430156202956,-0.28899959691649624,-0.9776183897992953,-0.5893742974851116,0.5964905931912006
CHAN_only,WALE_like,9,11109,0.8266009527192731,{'c1': -0.89829281877658},1.2068574011858795,1.231686380910885,-0.26294294117335965,-0.26511533420471545,0.06680065359843823,-0.3887472762375703,0.057784301562029544,-0.28899959691649624,-0.9776183897992915,-0.5893742974851116,0.5964905931912005
