model,ratio,seed,fit_seed,train_loss,sample_size_iso,sample_size_chan,nmse_iso,nmse_chan,mean_r_iso,mean_r_chan,tau12_r_chan,pi_r_iso,pi_r_chan,wall_tau12_corr_chan,c1,c2,c3,c4,extreme_total_q010_iso,extreme_captured_q010_iso,coverage_q010_iso,extreme_total_q010_chan,extreme_captured_q010_chan,coverage_q010_chan,extreme_total_q050_iso,extreme_captured_q050_iso,coverage_q050_iso,extreme_total_q050_chan,extreme_captured_q050_chan,coverage_q050_chan
Jaumann_hybrid,0.1,2,71002,2.080562580979335,26214,26214,1.0200545308043842,1.0719855664317446,0.18599180640717386,0.1145741495144591,0.01194785904392567,0.11124133489650886,0.02825950196887158,-0.9295680998952061,0.07996132256688579,-0.32296815985832855,-0.0006363554509553335,nan,2622,243,0.09267734553775744,2622,251,0.09572845156369184,13108,1325,0.10108330790357034,13108,1314,0.10024412572474825
Jaumann_hybrid,0.1,3,71003,2.0737918543945146,26214,26214,1.0204721138081723,1.0673810814068183,0.18579600818487318,0.11295477059907406,0.0110670595898259,0.10150217688663823,0.025068949137233107,-0.9303295276607335,0.07720398787239456,-0.3217853909203324,-0.0006215821759602536,nan,2622,261,0.09954233409610984,2622,266,0.10144927536231885,13108,1306,0.09963381141287764,13108,1301,0.0992523649679585
Jaumann_hybrid,0.2,0,72000,2.1223040262559083,52428,52428,1.0204722509322024,1.0679645912535651,0.18578137448534401,0.11277121028405573,0.01094356814244909,0.10010762638231885,0.024608308753997082,-0.9304254235894791,0.07754612631933729,-0.32468124111186464,-0.0006307335769852003,nan,2622,548,0.20900076277650648,2622,520,0.19832189168573608,13108,2618,0.19972535855965823,13108,2660,0.20292950869697896
Jaumann_hybrid,0.2,1,72001,2.0956143422886413,52428,52428,1.0199588900365357,1.070688112476577,0.1861276226129335,0.11573788987432965,0.012562839058029927,0.1181308306335251,0.03048407228365965,-0.9289983001760428,0.0792471057861237,-0.3129893992068934,-0.00062862265718963,nan,2622,522,0.19908466819221968,2622,532,0.2028985507246377,13108,2583,0.1970552334452243,13108,2653,0.20239548367409216
Jaumann_hybrid,0.2,2,72002,2.0881789706704783,52428,52428,1.0218899612512924,1.0583814557120053,0.18477348058651308,0.10597881302906338,0.007076116925990153,0.05974568820589671,0.010677395346606174,-0.933165484502794,0.07113525361805016,-0.3382952537438933,-0.0006202057328898767,nan,2622,489,0.18649885583524028,2622,498,0.18993135011441648,13108,2553,0.19476655477570948,13108,2630,0.20064083002746413
Jaumann_hybrid,0.2,3,72003,2.123190303375179,52428,52428,1.0211285174900093,1.0641446609681298,0.1852634927039135,0.109150792786406,0.00897622357996704,0.07920999673111533,0.017539126622674515,-0.9319387582036317,0.07508075539619416,-0.3358816764143813,-0.0006177299909589534,nan,2622,549,0.20938215102974828,2622,537,0.2048054919908467,13108,2655,0.20254806225205982,13108,2695,0.20559963381141289
Jaumann_hybrid,0.5,0,75000,2.1292256271120973,131072,131072,1.0207223625930253,1.0649713750146432,0.1856938389204653,0.11202944579968309,0.010511728027506677,0.09537101674316387,0.023032702096464082,-0.930768589691876,0.07568103468994282,-0.3217283920229585,-0.0006246621901232735,nan,2622,1337,0.5099160945842868,2622,1316,0.501906941266209,13108,6565,0.5008391821788221,13108,6586,0.5024412572474825
Jaumann_hybrid,0.5,1,75001,2.1356308319199817,131072,131072,1.020223826120477,1.0689766808140375,0.18596644047622812,0.11430294845907059,0.011785270477854196,0.10939784778198477,0.027660386570697085,-0.929708450961635,0.07819896827846491,-0.3177575844175922,-0.0006273760121121266,nan,2622,1302,0.4965675057208238,2622,1335,0.5091533180778032,13108,6520,0.4974061641745499,13108,6590,0.5027464144034177
Jaumann_hybrid,0.5,2,75002,2.1133639345232393,131072,131072,1.0207322511778976,1.0653976398623792,0.18568189251647896,0.11183437158837543,0.010364808181332065,0.09371101419178812,0.02247838205660087,-0.9308738874012638,0.07593088292270533,-0.3245374843913161,-0.0006369131902873804,nan,2622,1252,0.4774980930587338,2622,1302,0.4965675057208238,13108,6400,0.4882514494964907,13108,6534,0.49847421422032345
Jaumann_hybrid,0.5,3,75003,2.1256595330612282,131072,131072,1.0205716584804694,1.0675823586769715,0.1856719023631124,0.11207807404399846,0.010616858917808551,0.09665897888311199,0.023459734211642082,-0.9307064559228982,0.07730503639962315,-0.3272132603798169,-0.0006190300602978773,nan,2622,1324,0.5049580472921434,2622,1341,0.511441647597254,13108,6512,0.4967958498626793,13108,6572,0.5013732072017089
Champion,0.01,0,71100,2.411825489235615,2621,2621,0.9694985237260187,1.0498775205262327,0.2980180747063932,0.3000647843009501,0.27914164521300444,0.9722763378725051,0.6046867664497737,-0.5893687679992131,0.03500079318718274,0.5131355707514128,2.6857180199387774e-06,nan,2622,24,0.009153318077803204,2622,29,0.011060259344012205,13108,120,0.0091547146780592,13108,140,0.010680500457735734
Champion,0.01,1,71101,2.3125788051686342,2621,2621,0.966830804687466,1.053224458192361,0.30052233725118277,0.2962221589681049,0.2605930853701662,0.9665773847356144,0.6070553305129724,-0.5861245140008255,0.04887517807859694,0.49641110147490564,2.6056795696200804e-06,nan,2622,28,0.010678871090770405,2622,28,0.010678871090770405,13108,119,0.009078425389075374,13108,134,0.010222764723832774
Champion,0.01,2,71102,2.6873407669551668,2621,2621,0.969123154067478,1.049869371287181,0.3005147550102312,0.29643480296247915,0.2615992203656891,0.9669018845316122,0.6069995549799319,-0.5862874109867751,0.04626807536817234,0.4772860032866793,2.8860101666828214e-06,nan,2622,25,0.009534706331045004,2622,25,0.009534706331045004,13108,131,0.009993896856881294,13108,130,0.009917607567897467
Champion,0.01,3,71103,2.4824615149436546,2621,2621,0.9732769611312914,1.0448006309788587,0.3003415260607379,0.2974348070623183,0.26613972213069415,0.968338744751148,0.6066597731624314,-0.5870365582126482,0.040373774014570034,0.4486408121167139,2.780010447288794e-06,nan,2622,31,0.011823035850495805,2622,26,0.009916094584286803,13108,110,0.008391821788220934,13108,122,0.009307293256026854
Champion,0.02,0,71200,2.4817999211911834,5242,5242,0.9752062177718221,1.0431673509920112,0.3005168550494378,0.29590099870419834,0.2592434993494903,0.9661384326434588,0.6071200025865979,-0.5859039397069633,0.04227472819666347,0.42071824019109644,2.669948633240666e-06,nan,2622,55,0.020976353928299007,2622,51,0.019450800915331808,13108,277,0.021132133048519988,13108,237,0.01808056148916692
Champion,0.02,1,71201,2.5772603249944153,5242,5242,0.9677228057486743,1.0511251695077644,0.29974915953684694,0.2986402671543824,0.2717316596311097,0.9700559543135722,0.6060210559199861,-0.5879938070700482,0.04142056574793846,0.510803901838135,2.6867353411255924e-06,nan,2622,64,0.02440884820747521,2622,56,0.02135774218154081,13108,279,0.02128471162648764,13108,262,0.019987793713762587
Champion,0.02,2,71202,2.5101552981310626,5242,5242,0.969589629304413,1.048978644713326,0.3004298668371794,0.2970907968587147,0.264545165473532,0.9678389968911916,0.6067959209369227,-0.5867717705717357,0.04423444234300783,0.47845076746550963,2.8147099911023223e-06,nan,2622,59,0.02250190694126621,2622,54,0.020594965675057208,13108,277,0.021132133048519988,13108,268,0.020445529447665547
Champion,0.02,3,71203,2.274860405958137,5242,5242,0.9822035635921882,1.0379405069441736,0.2999041752501526,0.2933631124952141,0.24830614926293293,0.9624010163489597,0.6072257447215448,-0.5841421774714224,0.04093604053980984,0.35086297454067555,2.7400215137397033e-06,nan,2622,40,0.015255530129672006,2622,55,0.020976353928299007,13108,209,0.015944461397619774,13108,264,0.02014037229173024
Champion,0.05,0,71500,2.436651163040648,13107,13107,0.9722980053361634,1.0458081821010436,0.30021268642853277,0.29779722111616275,0.26781927408083583,0.9688599329297647,0.6064953513584188,-0.5873188515014619,0.04022305172207306,0.4603966377597809,2.8857971699265056e-06,nan,2622,124,0.04729214340198322,2622,131,0.04996186117467582,13108,622,0.04745193774794019,13108,678,0.05172413793103448
